175100S;00;9000;"Erffnung";"";0101;535;;;0;0;"Anfangsbestand";"";0;EUR;175100;EUR;0
2556459H;00;9000;"Erffnung";"";0101;800;;;0;0;"Anfangsbestand";"";0;EUR;2556459;EUR;0
6183836H;00;9000;"Erffnung";"";0101;860;;;0;0;"Anfangsbestand";"";0;EUR;6183836;EUR;0
100000H;00;9000;"Erffnung";"";0101;977;;;0;0;"Anfangsbestand";"";0;EUR;100000;EUR;0
153980S;00;9000;"Erffnung";"";0101;1000;;;0;0;"Anfangsbestand";"";0;EUR;153980;EUR;0
2008038S;00;9000;"Erffnung";"";0101;1200;;;0;0;"Anfangsbestand";"";0;EUR;2008038;EUR;0
14632655S;00;9000;"Erffnung";"";0101;1252;;;0;0;"Anfangsbestand";"";0;EUR;14632655;EUR;0
1350000H;00;9000;"Erffnung";"";0101;1360;;;0;0;"Anfangsbestand";"";0;EUR;1350000;EUR;0
2522990S;00;9000;"Erffnung";"";0101;1410;;;0;0;"Anfangsbestand";"";0;EUR;2522990;EUR;0
1250000S;00;9000;"Erffnung";"";0101;1507;;;0;0;"Anfangsbestand";"";0;EUR;1250000;EUR;0
3438822S;00;9000;"Erffnung";"";0101;1508;;;0;0;"Anfangsbestand";"";0;EUR;3438822;EUR;0
261000S;00;9000;"Erffnung";"";0101;1525;;;0;0;"Anfangsbestand";"";0;EUR;261000;EUR;0
18497S;00;9000;"Erffnung";"";0101;1545;;;0;0;"Anfangsbestand";"";0;EUR;18497;EUR;0
511551S;00;9000;"Erffnung";"";0101;1590;;;0;0;"Anfangsbestand";"";0;EUR;511551;EUR;0
3449H;00;9000;"Erffnung";"";0101;1700;;;0;0;"Anfangsbestand";"";0;EUR;3449;EUR;0
256925S;00;9000;"Erffnung";"";0101;1736;;;0;0;"Anfangsbestand";"";0;EUR;256925;EUR;0
861082H;00;9000;"Erffnung";"";0101;1740;;;0;0;"Anfangsbestand";"";0;EUR;861082;EUR;0
56866H;00;9000;"Erffnung";"";0101;1741;;;0;0;"Anfangsbestand";"";0;EUR;56866;EUR;0
578H;09;4970;"3";"";0102;1200;;;0;0;"kreditprovision";"";1900;EUR;578;EUR;0
1272H;09;4970;"3";"";0102;1200;;;0;0;"kontoführung 01/13";"";1900;EUR;1272;EUR;0
14280H;09;4806;"3";"";0102;1200;;;0;0;"gulp membership-verlängerung 1";"";1900;EUR;14280;EUR;0
6189H;09;4920;"3";"";0802;1200;;;0;0;"Telekom 01/13";"";1900;EUR;6189;EUR;0
410000H;00;4124;"";"";2802;1755;;;0;0;"02/13";"";0;EUR;410000;EUR;0
353134S;00;1740;"";"";2802;1755;;;0;0;"02/13";"";0;EUR;353134;EUR;0
56866S;00;1741;"";"";2802;1755;;;0;0;"02/13";"";0;EUR;56866;EUR;0
56866H;00;1741;"3";"";1302;1200;;;0;0;"LST 01/13";"";0;EUR;56866;EUR;0
78100H;00;4320;"3";"";1502;1200;;;0;0;"gewst vz 2013";"";0;EUR;78100;EUR;0
1400000H;00;1360;"3";"";1502;1200;;;0;0;"barauszahlung";"";0;EUR;1400000;EUR;0
500000S;00;1360;"3";"";1502;1200;;;0;0;"sonstige buchung";"";0;EUR;500000;EUR;0
329900H;09;320;"3";"";1802;1200;;;0;0;"ah isernhagen bmw 325 d gebrau";"";1900;EUR;329900;EUR;0
50000S;00;1508;"3";"";1802;1200;;;0;0;"bintou mady kaba darlehensrück";"";0;EUR;50000;EUR;0
99H;00;4925;"3";"";1802;1200;;;0;0;"mastercard amazon web service";"";0;EUR;99;EUR;0
